0,0,54
1,0,50
4,0,50
6,0,50
7,0,95
5,0,50
8,0,50
9,0,50
3,0,50
2,0,50
0,1,85
1,1,82
4,1,79
6,1,81
7,1,78
5,1,74
8,1,81
9,1,83
3,1,74
2,1,79
0,2,54
1,2,50
4,2,50
6,2,49
7,2,52
5,2,50
8,2,50
9,2,50
3,2,50
2,2,50
0,3,76
1,3,74
4,3,72
6,3,69
7,3,78
5,3,67
8,3,71
9,3,76
3,3,68
2,3,71
0,4,101
1,4,100
4,4,97
6,4,98
7,4,85
5,4,92
8,4,100
9,4,99
3,4,95
2,4,99
0,5,101
1,5,94
4,5,96
6,5,91
7,5,86
5,5,90
8,5,99
9,5,98
3,5,96
2,5,97
0,6,95
1,6,100
4,6,98
6,6,101
7,6,95
5,6,94
8,6,100
9,6,99
3,6,96
2,6,100
0,7,100
1,7,100
4,7,100
6,7,100
7,7,100
5,7,100
8,7,100
9,7,100
3,7,100
2,7,100
10,2,50
10,3,66
10,4,89
11,4,95
11,1,95
11,4,95
