86664,100,108873545,52715772
116312,366,159194361,70173874
139388,134,134194320,63695818
86875,85,100709469,52876023
89255,103,101489358,50258004
75609,86,97237664,52133349
103046,309,138674940,71542106
58650,74,85311913,49266653
65138,80,89186293,51868269
69399,80,90670607,49044880
82658,81,97820787,54513880
55363,283,118350739,64352902
51581,72,82708974,48229612
53289,75,83968040,49999722
72953,74,91416286,49918795
50350,65,82012502,48747789
88976,310,135186039,71157592
79951,92,102948563,52561467
120360,96,133514315,65527976
63631,78,89847559,48943006
102498,98,110090995,58662763
69492,285,127968612,65445816
79411,151,110430469,59087947
58695,81,90919195,51242023
57432,70,85687444,47971838
63532,76,91238282,50403865
42345,69,82405694,48630579
95858,333,145766634,71301275
62386,85,95637833,51832599
56094,72,89039549,49309742
96570,89,120619274,66708419
53953,77,93788818,53002395
70842,324,137037020,71030633
64362,77,89623730,49706512
51433,73,84854169,48492082
61691,168,104657876,56679509
55949,78,92387369,50753784
101555,392,154569160,79597827
90250,92,109705045,58157047
71315,82,96276854,51466859
50119,68,80869402,47916168
51425,75,84201319,52155058
90503,333,138696988,68809605
54477,72,85467639,51589260
62865,71,86893156,49600623
44900,67,78012088,47556926
48538,77,84273156,50677778
79881,322,133589598,67164800
123429,98,127551091,69311381
96256,89,104205730,55393085
88567,91,104221607,56327216
55613,72,85902703,51698543
112134,262,129577124,64416269
89248,191,118963003,61923297
66186,71,87445688,51632263
78621,82,102766186,48571364
108029,83,103223839,50349270
70540,80,92717215,49982169
244936,421,220096177,88432379
123900,127,138014785,61591722
101931,89,107595079,51609289
115899,132,125829045,56391294
66667,76,90809126,49324880
97020,330,146364446,67834815
73243,77,93768840,54141575
46677,73,82120564,48896633
47932,69,81243074,47786814
49568,71,83825170,48223388
106202,317,144013160,69992719
68874,77,91552468,49520862
65308,78,94782369,52668980
61972,78,93199149,53605004
101885,87,115035282,65818668
72312,314,133899478,66960745
81578,87,102965800,54396205
62719,80,94122853,51930606
45543,73,82786550,48259397
60957,77,91052491,48994062
170658,428,191637936,85049997
74985,89,98473396,51817483
91947,100,109160930,55809767
53514,79,93098251,56587571
88010,144,107571486,55582010
75950,90,99165166,54133398
90857,312,132252952,67310520
88168,91,98965748,53089335
57570,72,87866644,52416631
57193,70,82902602,49328750
51859,72,83467372,48857855
77748,321,131528755,67169368
116005,112,127732156,70990700
65319,84,95401474,54500548
73845,79,92124899,51289760
55692,76,85537075,50029657
91287,338,140995706,68383368
83473,195,109832462,58983402
63032,77,89386596,50956398
67234,77,90728110,53799286
61415,88,89897489,52500112
90251,396,141737917,69616516
56891,71,82917376,49537328
55736,72,84828502,52453252
79406,89,98809476,54563463
51472,75,85303115,49968135
108430,328,141153908,69962876
80884,75,91948869,51630279
61079,78,91193103,50846740
